n,float64
3,2.220446049250313e-16
4,2.220446049250313e-16
5,3.3306690738754696e-16
6,6.661338147750939e-16
7,1.3322676295501878e-15
8,3.774758283725532e-15
9,2.6645352591003757e-15
10,1.6653345369377348e-15
11,2.4424906541753444e-15
12,1.176836406102666e-14
13,1.2434497875801753e-14
14,1.2878587085651816e-14
15,1.6209256159527285e-14
16,2.020605904817785e-14
17,2.020605904817785e-14
18,2.020605904817785e-14
19,2.1538326677728037e-14
20,2.4646951146678475e-14
30,4.8627768478581856e-14
40,1.1457501614131615e-13
50,1.5876189252139739e-13
60,2.822186928597148e-13
70,2.950972799453666e-13
80,6.054046153280979e-13
90,7.649436639667329e-13
100,9.2192919964873e-13
200,7.401412815966069e-12
500,8.360179215571861e-11
