n,błąd dla Gaussa,błąd dla Thomasa,czas dla Gaussa[s],czas dla Thomasa[s]
3,0.0,0.0,9.889999637380242e-05,3.720005042850971e-05
4,2.220446049250313e-16,2.220446049250313e-16,8.620001608505845e-05,3.9000005926936865e-05
5,2.220446049250313e-16,2.220446049250313e-16,0.00011189997894689441,4.549999721348286e-05
6,2.220446049250313e-16,2.220446049250313e-16,0.00021410000044852495,5.199998850002885e-05
7,2.220446049250313e-16,2.220446049250313e-16,0.0001824999926611781,5.740002961829305e-05
8,2.220446049250313e-16,2.220446049250313e-16,0.00021030002972111106,3.100000321865082e-05
9,2.220446049250313e-16,2.220446049250313e-16,0.00012499996228143573,3.4699973184615374e-05
10,2.220446049250313e-16,2.220446049250313e-16,0.00014790002023801208,3.490003291517496e-05
11,2.220446049250313e-16,2.220446049250313e-16,0.00017809995915740728,3.779999678954482e-05
12,2.220446049250313e-16,2.220446049250313e-16,0.00020369997946545482,4.0700018871575594e-05
13,2.220446049250313e-16,2.220446049250313e-16,0.0002405999694019556,4.3599982745945454e-05
14,2.220446049250313e-16,2.220446049250313e-16,0.00027050002245232463,4.640000406652689e-05
15,2.220446049250313e-16,2.220446049250313e-16,0.00030419998802244663,5.099998088553548e-05
20,2.220446049250313e-16,2.220446049250313e-16,0.000521100009791553,6.46000262349844e-05
30,2.220446049250313e-16,2.220446049250313e-16,0.0011207999777980149,9.739998495206237e-05
40,2.220446049250313e-16,2.220446049250313e-16,0.001970799989067018,0.00012580002658069134
50,2.220446049250313e-16,2.220446049250313e-16,0.003044300014153123,0.00015360000543296337
60,2.220446049250313e-16,2.220446049250313e-16,0.004314499965403229,0.00018239999189972878
70,2.220446049250313e-16,2.220446049250313e-16,0.005864500009920448,0.0002106999745592475
80,2.220446049250313e-16,2.220446049250313e-16,0.007651699997950345,0.0002523000002838671
90,2.220446049250313e-16,2.220446049250313e-16,0.009602700010873377,0.0002691000117920339
100,2.220446049250313e-16,2.220446049250313e-16,0.011722000024747103,0.0002998000127263367
150,2.220446049250313e-16,2.220446049250313e-16,0.027263999974820763,0.0004591000033542514
200,2.220446049250313e-16,2.220446049250313e-16,0.04914809996262193,0.0006228999700397253
300,2.220446049250313e-16,2.220446049250313e-16,0.11140260001411662,0.0009488000068813562
500,2.220446049250313e-16,2.220446049250313e-16,0.3391122000175528,0.0015355999930761755
